pgpid,description
5346,"The death of Shelomo Lebdi was not only a serious personal blow to his brother, Yosef Lebdi, but it also meant that Yosef could lose half of his property to his nephew, David b. Shelomo, depending on what type of partnership the court will determine to have existed between the two brothers. While I, 20 (Mosseri V 374 1 A3) shows a testimony forward by David, this document shows a testimony in the court of Fustat brought forward by Yosef Lebdi. Sedaqa b. David testifies regarding a rather large shipment (worth about 400 dinars) that Yosef deposited in his hands to be delivered in Tripoli in the Maghreb to Shelomo Lebdi or his son David. The fragmentary state of the document prevents a detailed understanding of the events. The document is dated to August 17, 1101 (in the English edition the date is August 19, 1101)."
5349,"Legal rebuttal regarding the lawsuit between Yosef Lebdi and Wuhsha over the possession of 22 bales of lac. So far, six bifolia and two leaves have been identified, totaling 28 pages of what must have been 40 pages in 2 quires. It seems that the judge in the lawsuit ruled in Lebdi's favor. A certain 'rayyis' wrote and published a critique of the ruling and supported Wuhsha's position. The judge answered with a rebuttal, and what has survived in the Geniza is the rayyis's rebuttal of the judge's rebuttal. The writer often quotes passages from his original critique and from the judge's answer. While the document is complex and obscure, the positions of the two sides are simple. The judge believed Lebdi's agreement with his two partners, Farah and Abu Nasr, includes the 22 loads of lac in question, as long as the other party does not provide proof that it does not include them. The unnamed rayyis argued that since Lebdi had no proof that the 22 bales belonged to his partnership with Farah and Abu Nasr, they must be considered as belonging to Farah's and Abu Nasr's heirs, since the bales are in their possession. In other words, since the bales are in the hands of the heirs, the burden of proof must be on Lebdi. Farah and Abu Nasr, it must be remembered, were murdered in Aydhab. Lebdi was entitled to 29 shares out of 30 of everything in their partnership and Abu Nasr and Farah had between them only one share. Farah's heirs already took their small share of the 22 bales of lac. It is worth noticing that only Wuhsha is mentioned as 'the heir' to Abu Nasr, even though we know she had another brother and two sisters. The trial between Lebdi and Wuhsha took place in 1104, three years after Lebdi came back from India, because the judge intentionally delayed the proceedings to give the parties time to come to an agreement. The last fragment, whose place in the larger document is not known, contains the information that the case was brought before a Muslim judge, who ruled in Wuhsha's favor. This document was thus written during or shortly after 1104. ENA 2855 16: I, 27a p. 1 T-S Ar 47 245: I, 28, p. 1 ENA 2855 15: I, 27a, p. 2 T-S Ar 43 272: I, 27 T-S G2 60: I, 28a, pp. 1-8 T-S Ar 49 33: I, 28b. For further explanation of the complex codicology of this document see Friedman's notes in pp. 174-177 in the Hebrew edition, and pp. 242-244 in the English edition."
5350,Power of attorney by Shemuel Ibn al-Lebdi from late tenth-early eleventh century Fustat. Shemuel appoints a man (only 'son of Ḥalfon' survives) to sue Nissi b. Yaʿaqov.
5351,"In this incompletely preserved contract, Yosef Lebdi provided merchandise worth 460 dinars with which the active partner Khalluf would trade. Lebdi will receive three-quarters of the profits and Khalluf one quarter. The contract is described as mudarabat al-tujjar, a merchants' commenda, which normally provides for a division of two-thirds and one third of the profit. Here the active partner did not make an investment on his side and so his share in the profits was lower."
5353,"The testimony of Arus b. Yosef about Lebdi's partnership with his brother Shelomo Lebdi. After Shelomo Lebdi drowned in the spring of 1099 on his way from Tunis to Spain, his son David had to secure his rights as heir. The first step was the testimony of Arus b. Yosef, a travel companion of Lebdi, who testified in the court of Fustat on the nature of partnership between the two Lebdi brothers. The document is dated to June 10, 1099."
5354,"Draft of court proceedings from Fustat dealing with the dispute between Yosef ha-Lebdi the India trader and Yequtiʾel b. Moshe, 'the representative of merchants' in Fustat. After seven weeks had past from the last session (see I, 8), it was clear that Lebdi and Yequtiʾel had reached no agreement between them. They returned to court and the trial continued. We hear that Lebdi was considering the desperate act of delaying the prayer in the synagogue (or appealing to Muslim authorities see p. 81 n. 1 in the Hebrew edition). The document is dated June 10, 1098."
5355,"The widow of Abu al-Barakat, the son of Yosef Lebdi, buys a sixth of two adjacent stores for 53 and three/fourths dinars. The widow was Sitt al-Sada, daughter of Abu Nasr al-Tinnisi. This same share of the two stores was bought at an earlier date by Abu al-Fadil, a physician, from his two nephews. These nephews retained the right to buy."
5356,"Draft of an oath to be taken by Yosef Lebdi in which he enumerates his assets. Due to the litigation between Yosef Lebdi and his nephew, David b. Shelomo, following Shelomo's death, Yosef Lebdi was to make a formal oath stating that he had cheated neither his brother nor nephew. The draft is incomplete, probably because the elders of the community intervened and prevented such a respectable merchant as he from the shame of making such an oath. There is reason to believe that the detailing of Yosef's assets and dealings is complete."
5357,"The widow of Abu al-Barakat, the son of Yosef Lebdi, buys a sixth of two adjacent stores for 53 and three/fourths dinars. The widow was Sitt al-Sada, daughter of Abu Nasr al-Tinnisi. This same share of the two stores was bought at an earlier date by Abu al-Fadil, a physician, from his two nephews. These nephews retained the right to buy."
5359,"Legal document: testimony about the will of Yosef Lebdi. This fragment, written in the hand of Hillel b. Eli, records that before leaving for his last journey, Lebdi made the will. Friedman dates the fragment to the beginning of the 12th century."
5360,"Duplicate, see PGPID 5383"
5361,"Court proceedings in the case of al-Wuhsha (or al-Wahsha) against Yosef Lebdi. Wuhsha's representative, Moshe b. Yeshua, sued Lebdi for what he claimed was the share of Wuhsha's brother, Abu Nasr, in Lebdi's merchandise, sold or unsold. The document is written in the hand of Ḥalfon b. Menashshe and was signed by Eli ha-Levi b. Nethanel and Yiṣḥaq b. Shemuel, one of the two Fustat judges. The document is dated to June 30, 1104."
